date_time,cases,report_date
2020-01-12,0,2020-04-02
2020-01-13,0,2020-04-02
2020-01-14,3,2020-04-02
2020-01-15,0,2020-04-02
2020-01-16,1,2020-04-02
2020-01-17,0,2020-04-02
2020-01-18,1,2020-04-02
2020-01-19,0,2020-04-02
2020-01-20,2,2020-04-02
2020-01-21,1,2020-04-02
2020-01-22,3,2020-04-02
2020-01-23,0,2020-04-02
2020-01-24,3,2020-04-02
2020-01-25,3,2020-04-02
2020-01-26,0,2020-04-02
2020-01-27,1,2020-04-02
2020-01-28,2,2020-04-02
2020-01-29,1,2020-04-02
2020-01-30,4,2020-04-02
2020-01-31,1,2020-04-02
2020-02-01,3,2020-04-02
2020-02-02,5,2020-04-02
2020-02-03,2,2020-04-02
2020-02-04,0,2020-04-02
2020-02-05,1,2020-04-02
2020-02-06,2,2020-04-02
2020-02-07,1,2020-04-02
2020-02-08,4,2020-04-02
2020-02-09,1,2020-04-02
2020-02-10,7,2020-04-02
2020-02-11,8,2020-04-02
2020-02-12,5,2020-04-02
2020-02-13,8,2020-04-02
2020-02-14,8,2020-04-02
2020-02-15,12,2020-04-02
2020-02-16,6,2020-04-02
2020-02-17,22,2020-04-02
2020-02-18,20,2020-04-02
2020-02-19,10,2020-04-02
2020-02-20,24,2020-04-02
2020-02-21,32,2020-04-02
2020-02-22,28,2020-04-02
2020-02-23,35,2020-04-02
2020-02-24,72,2020-04-02
2020-02-25,53,2020-04-02
2020-02-26,95,2020-04-02
2020-02-27,86,2020-04-02
2020-02-28,137,2020-04-02
2020-02-29,119,2020-04-02
2020-03-01,272,2020-04-02
2020-03-02,273,2020-04-02
2020-03-03,317,2020-04-02
2020-03-04,351,2020-04-02
2020-03-05,415,2020-04-02
2020-03-06,520,2020-04-02
2020-03-07,571,2020-04-02
2020-03-08,803,2020-04-02
2020-03-09,1288,2020-04-02
2020-03-10,1387,2020-04-02
2020-03-11,1775,2020-04-02
2020-03-12,2351,2020-04-02
2020-03-13,3116,2020-04-02
2020-03-14,3361,2020-04-02
2020-03-15,4077,2020-04-02
2020-03-16,4662,2020-04-02
2020-03-17,3965,2020-04-02
2020-03-18,3809,2020-04-02
2020-03-19,4345,2020-04-02
2020-03-20,4588,2020-04-02
2020-03-21,4475,2020-04-02
2020-03-22,4280,2020-04-02
2020-03-23,3618,2020-04-02
2020-03-24,2375,2020-04-02
2020-03-25,1928,2020-04-02
2020-03-26,2094,2020-04-02
2020-03-27,1267,2020-04-02
2020-03-28,436,2020-04-02
2020-03-29,249,2020-04-02
2020-03-30,146,2020-04-02
2020-03-31,46,2020-04-02
2020-04-01,3,2020-04-02
2020-04-02,0,2020-04-02
2020-01-12,0,2020-04-08
2020-01-13,0,2020-04-08
2020-01-14,3,2020-04-08
2020-01-15,2,2020-04-08
2020-01-16,1,2020-04-08
2020-01-17,0,2020-04-08
2020-01-18,1,2020-04-08
2020-01-19,0,2020-04-08
2020-01-20,2,2020-04-08
2020-01-21,1,2020-04-08
2020-01-22,3,2020-04-08
